,type,length,forward,ri,shi,label
0,1,50,1,0,0,11
1,1,6,1,0,0,11
2,1,10,2,0,1,11
3,1,60,4,0,1,11
4,1,25,6,0,1,36
5,1,30,4,0,0,35
6,1,80,3,0,0,11
7,1,1,2,0,0,11
8,1,30,4,0,1,11
9,1,0,1,0,1,21
10,1,0,4,0,1,11
11,1,10,2,0,1,11
12,1,15,1,0,1,11
13,1,50,1,0,1,11
14,1,100,4,0,1,11
15,1,15,3,0,0,11
16,1,0,4,0,0,11
17,1,50,2,0,0,21
18,1,10,1,0,1,21
19,1,0,2,0,1,11
20,1,0,3,0,1,21
21,1,5,3,0,0,11
22,0,0,0,0,1,11
23,1,5,2,0,1,21
24,1,5,7,0,0,11
25,1,6,3,0,1,11
26,1,15,4,0,1,11
27,1,6,2,0,1,11
28,0,0,0,0,1,11
29,1,0,4,0,1,11
30,1,2,7,0,1,11
31,1,5,6,0,1,11
32,1,20,8,0,1,12
33,1,250,3,0,1,11
34,1,5,8,0,1,11
35,1,5,8,0,0,11
36,1,50,3,0,1,11
37,1,1,2,0,1,11
38,1,1,4,0,1,11
39,1,50,1,0,0,35
40,1,150,3,0,1,11
41,1,0,1,0,1,11
42,1,20,7,0,1,11
43,1,80,1,0,0,11
44,1,100,4,0,1,21
45,1,0,4,0,1,11
46,1,0,4,0,1,12
47,1,0,4,0,0,39
48,1,50,3,0,0,11
49,1,30,3,0,1,11
50,1,20,3,0,1,21
51,0,0,0,0,1,11
52,1,5,1,0,1,11
53,1,30,1,0,1,11
54,1,10,1,0,1,11
55,1,20,1,0,1,11
56,1,10,4,0,0,11
57,1,5,1,0,0,11
58,1,150,4,0,0,11
59,1,6,3,0,1,11
60,1,6,2,0,1,21
61,1,2,4,0,1,11
62,1,6,4,0,1,11
63,1,6,4,0,1,11
64,1,6,2,0,1,11
65,1,6,2,0,1,11
66,1,5,2,0,0,11
67,1,0,3,0,0,11
68,1,0,3,0,0,11
69,1,15,4,0,1,11
70,1,5,4,0,1,11
71,1,20,8,0,1,12
72,1,15,4,0,1,21
73,1,30,2,0,1,11
74,0,0,0,0,1,11
75,1,40,1,0,0,11
76,0,50,0,0,0,11
77,1,200,4,0,1,19
78,1,1,4,0,1,11
79,1,1,1,0,1,11
80,1,0,1,1,1,11
81,1,0,1,1,1,11
82,1,200,4,1,1,21
83,1,10,4,1,1,11
84,1,7,4,1,1,11
85,1,0,3,1,1,11
86,1,30,2,1,1,12
87,1,50,3,1,1,21
88,1,20,1,1,1,21
89,1,60,4,1,1,11
90,1,10,3,1,1,12
91,1,5,4,1,1,21
92,1,5,4,1,1,21
93,1,20,1,1,1,11
94,1,20,1,1,1,11
95,1,5,6,1,1,11
96,1,50,1,1,1,11
97,1,10,1,1,1,11
98,1,10,2,1,0,11
99,1,5,3,1,1,11
100,1,45,2,1,1,11
101,1,30,3,1,1,11
102,1,50,4,1,1,11
103,1,10,2,1,1,11
104,1,0,2,1,1,11
105,1,30,1,1,1,11
106,0,0,0,1,0,35
107,1,25,1,1,1,11
108,1,30,3,1,1,11
109,1,5,5,1,1,11
110,1,20,1,1,1,11
111,1,35,3,1,1,11
112,1,5,7,1,1,11
113,1,50,3,1,1,11
114,1,35,1,1,0,11
115,1,80,4,1,0,11
116,1,5,5,1,0,11
117,1,1,4,1,1,11
118,1,80,3,1,1,21
119,1,40,3,1,1,11
120,1,0,4,1,0,21
121,1,100,1,1,1,11
122,1,0,2,1,1,11
123,1,0,2,1,1,11
124,1,0,2,1,1,11
125,1,10,1,1,1,11
126,1,30,1,1,1,35
127,1,50,3,1,1,38
128,1,0,2,1,0,11
129,1,0,4,1,0,11
130,1,11,1,1,0,21
131,1,30,2,1,0,11
132,1,10,3,1,1,11
133,1,0,4,1,1,11
134,1,0,1,1,1,11
135,1,50,1,1,1,11
136,1,50,2,1,1,12
137,1,30,3,1,1,35
138,1,0,2,1,1,11
139,1,50,3,1,1,12
140,1,0,1,1,1,11
141,1,0,4,1,0,11
142,1,0,1,1,1,11
143,1,0,2,1,1,11
144,1,5,2,1,1,35
145,1,30,4,1,1,21
146,1,10,3,1,0,11
147,1,5,4,1,0,11
148,1,50,4,1,0,11
149,1,5,1,1,0,11
150,1,0,2,1,0,21
151,0,0,0,1,1,12
152,1,6,1,1,1,21
153,1,0,3,1,1,11
154,1,0,4,1,1,11
155,1,0,3,1,1,11
156,1,0,3,1,1,19
157,1,0,1,1,1,21
158,1,80,1,1,1,29
159,1,2,4,1,0,11
160,1,5,1,1,0,11
161,1,50,3,1,1,21
162,1,15,1,1,1,11
163,1,10,8,1,1,11
164,1,10,1,1,1,11
165,1,5,1,1,1,11
166,1,75,2,1,1,11
167,1,3,3,1,0,11
168,1,7,4,1,0,21
169,1,50,2,1,0,12
170,1,30,2,1,0,35
171,1,1,2,1,1,11
172,1,40,3,1,1,11
173,1,1,1,1,1,11
174,1,50,4,1,1,11
175,1,1,3,1,0,11
176,0,50,0,1,0,11
177,1,0,2,1,1,11
178,1,5,3,1,1,11
179,1,30,1,1,1,11
180,1,50,3,1,1,21
181,1,19,2,1,1,11
182,1,90,4,1,1,11
183,1,100,4,1,1,11
184,1,25,1,1,0,11
185,1,5,1,1,1,11
186,1,50,4,1,1,11
187,1,0,4,1,1,11
188,1,20,4,1,0,21
189,1,20,1,1,1,11
190,1,30,4,1,1,11
191,1,10,4,1,0,11
192,1,33,4,1,1,11
193,1,6,4,1,1,11
194,1,100,4,1,1,11
195,1,3,4,1,0,11
196,1,50,2,1,0,11
197,1,15,8,0,1,35
198,1,3,4,0,1,11
